# BEGIN PLOT
DrawOnly=/REF/ATLAS_2012_I1093738/d06-x01-y01 /LHC.yoda/ATLAS_2012_I1093738/d06-x01-y01 /THY/ATLAS_2012_I1093738/d06-x01-y01
XMax=200.0
Title=Leading photon $E_\perp$ (very forward jets, opposite-sign rapidity)
RatioPlotReference=/REF/ATLAS_2012_I1093738/d06-x01-y01
RatioPlot=1
LogX=1
LogY=1
XLabel=$E_\perp^\gamma$ [GeV]
MainPlot=1
YLabel=$\mathrm{d}\sigma/\mathrm{d}E_\perp^\gamma$ [pb/GeV]
XMin=25.0
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2012_I1093738/d06-x01-y01
IsRef=1
LineColor=green
Path=/REF/ATLAS_2012_I1093738/d06-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
2.500000e+01	3.000000e+01	3.100000e+01	1.300000e+01	6.000000e+00
3.000000e+01	3.500000e+01	2.100000e+01	9.000000e+00	4.000000e+00
3.500000e+01	4.500000e+01	1.200000e+01	5.000000e+00	2.000000e+00
4.500000e+01	5.500000e+01	3.500000e+00	1.100000e+00	6.000000e-01
5.500000e+01	7.000000e+01	1.500000e+00	5.000000e-01	3.000000e-01
7.000000e+01	8.500000e+01	3.800000e-01	1.200000e-01	8.000000e-02
8.500000e+01	1.000000e+02	1.200000e-01	3.000000e-02	3.000000e-02
1.000000e+02	1.250000e+02	4.000000e-02	1.000000e-02	1.000000e-02
1.250000e+02	1.500000e+02	1.500000e-02	7.000000e-03	7.000000e-03
1.500000e+02	2.000000e+02	2.300000e-03	1.900000e-03	1.900000e-03
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2012_I1093738/d06-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2012_I1093738/d06-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.500000e+01	3.000000e+01	3.100000e+01	1.300000e+01	6.000000e+00
3.000000e+01	3.500000e+01	2.100000e+01	9.000000e+00	4.000000e+00
3.500000e+01	4.500000e+01	1.200000e+01	5.000000e+00	2.000000e+00
4.500000e+01	5.500000e+01	3.500000e+00	1.100000e+00	6.000000e-01
5.500000e+01	7.000000e+01	1.500000e+00	5.000000e-01	3.000000e-01
7.000000e+01	8.500000e+01	3.800000e-01	1.200000e-01	8.000000e-02
8.500000e+01	1.000000e+02	1.200000e-01	3.000000e-02	3.000000e-02
1.000000e+02	1.250000e+02	4.000000e-02	1.000000e-02	1.000000e-02
1.250000e+02	1.500000e+02	1.500000e-02	7.000000e-03	7.000000e-03
1.500000e+02	2.000000e+02	2.300000e-03	1.900000e-03	1.900000e-03
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2012_I1093738/d06-x01-y01
LineColor=red
Path=/LHC.yoda/ATLAS_2012_I1093738/d06-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
2.500000e+01	3.000000e+01	3.100000e+01	1.300000e+01	6.000000e+00
3.000000e+01	3.500000e+01	2.100000e+01	9.000000e+00	4.000000e+00
3.500000e+01	4.500000e+01	1.200000e+01	5.000000e+00	2.000000e+00
4.500000e+01	5.500000e+01	3.500000e+00	1.100000e+00	6.000000e-01
5.500000e+01	7.000000e+01	1.500000e+00	5.000000e-01	3.000000e-01
7.000000e+01	8.500000e+01	3.800000e-01	1.200000e-01	8.000000e-02
8.500000e+01	1.000000e+02	1.200000e-01	3.000000e-02	3.000000e-02
1.000000e+02	1.250000e+02	4.000000e-02	1.000000e-02	1.000000e-02
1.250000e+02	1.500000e+02	1.500000e-02	7.000000e-03	7.000000e-03
1.500000e+02	2.000000e+02	2.300000e-03	1.900000e-03	1.900000e-03
# END HISTO1D

