# BEGIN PLOT
DrawOnly=/REF/ATLAS_2015_I1345452/d13-x01-y02 /LHC.yoda/ATLAS_2015_I1345452/d13-x01-y02 /THY/ATLAS_2015_I1345452/d13-x01-y02
YLabelSep=8.0
Title=muon channel
RatioPlotReference=/REF/ATLAS_2015_I1345452/d13-x01-y02
RatioPlot=1
LogY=1
RatioPlotYMax=1.8
RatioPlotYLabel=Expected/Data
LegendXPos=0.6
XLabel=$m (\hat{t}_\text{l}\hat{t}_\text{h})$ [GeV]
MainPlot=1
YLabel=$\dfrac{\text{d}\sigma^\text{fid}}{\text{d}m(\hat{t}_\text{l}\hat{t}_\text{h})}$ [$\dfrac{\text{pb}}{\text{GeV}}$]
Legend=1
RatioPlotYMin=0.6
LeftMargin=1.9
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2015_I1345452/d13-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2015_I1345452/d13-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
2.250000e+02	4.000000e+02	5.200000e-03	5.627784e-04	5.627784e-04
4.000000e+02	5.000000e+02	1.500000e-02	1.432480e-03	1.432480e-03
5.000000e+02	6.000000e+02	1.100000e-02	1.139708e-03	1.139708e-03
6.000000e+02	7.000000e+02	6.400000e-03	6.888553e-04	6.888553e-04
7.000000e+02	8.500000e+02	3.300000e-03	3.924642e-04	3.924642e-04
8.500000e+02	1.000000e+03	1.600000e-03	2.243540e-04	2.243540e-04
1.000000e+03	1.250000e+03	6.200000e-04	9.723727e-05	9.723727e-05
1.250000e+03	2.500000e+03	5.800000e-05	1.248321e-05	1.248321e-05
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2015_I1345452/d13-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2015_I1345452/d13-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.250000e+02	4.000000e+02	5.200000e-03	5.627784e-04	5.627784e-04
4.000000e+02	5.000000e+02	1.500000e-02	1.432480e-03	1.432480e-03
5.000000e+02	6.000000e+02	1.100000e-02	1.139708e-03	1.139708e-03
6.000000e+02	7.000000e+02	6.400000e-03	6.888553e-04	6.888553e-04
7.000000e+02	8.500000e+02	3.300000e-03	3.924642e-04	3.924642e-04
8.500000e+02	1.000000e+03	1.600000e-03	2.243540e-04	2.243540e-04
1.000000e+03	1.250000e+03	6.200000e-04	9.723727e-05	9.723727e-05
1.250000e+03	2.500000e+03	5.800000e-05	1.248321e-05	1.248321e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2015_I1345452/d13-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2015_I1345452/d13-x01-y02
Title=[7]  0.29
# xlow	 xhigh	 val	 errminus	 errplus
2.250000e+02	4.000000e+02	5.200000e-03	5.627784e-04	5.627784e-04
4.000000e+02	5.000000e+02	1.500000e-02	1.432480e-03	1.432480e-03
5.000000e+02	6.000000e+02	1.100000e-02	1.139708e-03	1.139708e-03
6.000000e+02	7.000000e+02	6.400000e-03	6.888553e-04	6.888553e-04
7.000000e+02	8.500000e+02	3.300000e-03	3.924642e-04	3.924642e-04
8.500000e+02	1.000000e+03	1.645328e-03	2.564056e-04	2.564056e-04
1.000000e+03	1.250000e+03	6.607950e-04	1.207903e-04	1.207903e-04
1.250000e+03	2.500000e+03	6.071967e-05	1.520288e-05	1.520288e-05
# END HISTO1D

