# BEGIN PLOT
DrawOnly=/REF/ATLAS_2016_I1502620_W_EL/d09-x01-y01 /LHC.yoda/ATLAS_2016_I1502620_W_EL/d09-x01-y01 /THY/ATLAS_2016_I1502620_W_EL/d09-x01-y01
Title=$W^+\rightarrow e^+\nu$, dressed level
RatioPlotReference=/REF/ATLAS_2016_I1502620_W_EL/d09-x01-y01
GofLegend=0
GofType=chi2
RatioPlot=1
LogX=0
LogY=0
RatioPlotYMax=1.1
LegendXPos=0.05
XLabel=$|\eta_\ell|$
MainPlot=1
YLabel=$\text{d}\sigma / \text{d}\eta_\ell$ [pb]
LegendYPos=0.25
Legend=1
RatioPlotYMin=0.9
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2016_I1502620_W_EL/d09-x01-y01
IsRef=1
LineColor=green
Path=/REF/ATLAS_2016_I1502620_W_EL/d09-x01-y01
Title=doi:10.17182/hepdata.76541.v1/t9
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.100000e-01	5.701953e+02	1.072725e+01	1.072725e+01
2.100000e-01	4.200000e-01	5.699476e+02	1.068511e+01	1.068511e+01
4.200000e-01	6.300000e-01	5.746817e+02	1.075530e+01	1.075530e+01
6.300000e-01	8.400000e-01	5.790665e+02	1.085205e+01	1.085205e+01
8.400000e-01	1.050000e+00	5.791768e+02	1.086570e+01	1.086570e+01
1.050000e+00	1.370000e+00	5.917613e+02	1.110779e+01	1.110779e+01
1.370000e+00	1.520000e+00	5.894995e+02	1.124106e+01	1.124106e+01
1.520000e+00	1.740000e+00	5.967085e+02	1.127684e+01	1.127684e+01
1.740000e+00	1.950000e+00	5.995861e+02	1.134217e+01	1.134217e+01
1.950000e+00	2.180000e+00	5.862495e+02	1.104983e+01	1.104983e+01
2.180000e+00	2.500000e+00	5.518143e+02	1.055452e+01	1.055452e+01
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2016_I1502620_W_EL/d09-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2016_I1502620_W_EL/d09-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.100000e-01	5.701953e+02	1.072725e+01	1.072725e+01
2.100000e-01	4.200000e-01	5.699476e+02	1.068511e+01	1.068511e+01
4.200000e-01	6.300000e-01	5.746817e+02	1.075530e+01	1.075530e+01
6.300000e-01	8.400000e-01	5.790665e+02	1.085205e+01	1.085205e+01
8.400000e-01	1.050000e+00	5.791768e+02	1.086570e+01	1.086570e+01
1.050000e+00	1.370000e+00	5.917613e+02	1.110779e+01	1.110779e+01
1.370000e+00	1.520000e+00	5.894995e+02	1.124106e+01	1.124106e+01
1.520000e+00	1.740000e+00	5.967085e+02	1.127684e+01	1.127684e+01
1.740000e+00	1.950000e+00	5.995861e+02	1.134217e+01	1.134217e+01
1.950000e+00	2.180000e+00	5.862495e+02	1.104983e+01	1.104983e+01
2.180000e+00	2.500000e+00	5.518143e+02	1.055452e+01	1.055452e+01
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2016_I1502620_W_EL/d09-x01-y01
LineColor=red
Path=/LHC.yoda/ATLAS_2016_I1502620_W_EL/d09-x01-y01
Title=[1]  0.00
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.100000e-01	5.702196e+02	1.074127e+01	1.074127e+01
2.100000e-01	4.200000e-01	5.699476e+02	1.068511e+01	1.068511e+01
4.200000e-01	6.300000e-01	5.746979e+02	1.076675e+01	1.076675e+01
6.300000e-01	8.400000e-01	5.790746e+02	1.086014e+01	1.086014e+01
8.400000e-01	1.050000e+00	5.791930e+02	1.087715e+01	1.087715e+01
1.050000e+00	1.370000e+00	5.917772e+02	1.111699e+01	1.111699e+01
1.370000e+00	1.520000e+00	5.895108e+02	1.125239e+01	1.125239e+01
1.520000e+00	1.740000e+00	5.967085e+02	1.127684e+01	1.127684e+01
1.740000e+00	1.950000e+00	5.995942e+02	1.135026e+01	1.135026e+01
1.950000e+00	2.180000e+00	5.862495e+02	1.104983e+01	1.104983e+01
2.180000e+00	2.500000e+00	5.518143e+02	1.055452e+01	1.055452e+01
# END HISTO1D

