# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1273574/d10-x01-y01 /ctest/mY_100_mX_100/mY_100_mX_100.yoda/CMS_2013_I1273574/d10-x01-y01 /THY/CMS_2013_I1273574/d10-x01-y01
Title=CMS, $\sqrt{s}$ = 7 TeV, Subleading hard jet $\eta$ in pp$\rightarrow$ 4j in $|\eta|<4.7$
RatioPlotReference=/REF/CMS_2013_I1273574/d10-x01-y01
RatioPlot=1
LogY=1
LegendXPos=0.2
XLabel=$\eta$
MainPlot=1
YLabel=$d\sigma/d\eta\; [\text{pb}/rad]$
LegendYPos=0.4
Legend=1
RatioPlotYMin=1
FullRange=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1273574/d10-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1273574/d10-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.700000e+00	-4.000000e+00	1.211162e+03	6.612958e+02	6.612958e+02
-4.000000e+00	-3.000000e+00	1.039474e+04	3.023310e+03	3.023310e+03
-3.000000e+00	-2.500000e+00	2.425729e+04	1.694051e+03	1.694051e+03
-2.500000e+00	-2.000000e+00	3.624537e+04	4.787279e+03	4.787279e+03
-2.000000e+00	-1.500000e+00	4.779189e+04	6.762480e+03	6.762480e+03
-1.500000e+00	-1.000000e+00	6.037002e+04	7.383825e+03	7.383825e+03
-1.000000e+00	-5.000000e-01	6.644973e+04	8.592485e+03	8.592485e+03
-5.000000e-01	0.000000e+00	6.843045e+04	9.972777e+03	9.972777e+03
0.000000e+00	5.000000e-01	7.130172e+04	9.533006e+03	9.533006e+03
5.000000e-01	1.000000e+00	6.811454e+04	8.856903e+03	8.856903e+03
1.000000e+00	1.500000e+00	5.953850e+04	7.453035e+03	7.453035e+03
1.500000e+00	2.000000e+00	4.798239e+04	6.828284e+03	6.828284e+03
2.000000e+00	2.500000e+00	3.731417e+04	5.494748e+03	5.494748e+03
2.500000e+00	3.000000e+00	2.214217e+04	1.812662e+03	1.812662e+03
3.000000e+00	4.000000e+00	1.040469e+04	2.999801e+03	2.999801e+03
4.000000e+00	4.700000e+00	1.358197e+03	8.300225e+02	8.300225e+02
4.700000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1273574/d10-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1273574/d10-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.700000e+00	-4.000000e+00	1.211162e+03	6.612958e+02	6.612958e+02
-4.000000e+00	-3.000000e+00	1.039474e+04	3.023310e+03	3.023310e+03
-3.000000e+00	-2.500000e+00	2.425729e+04	1.694051e+03	1.694051e+03
-2.500000e+00	-2.000000e+00	3.624537e+04	4.787279e+03	4.787279e+03
-2.000000e+00	-1.500000e+00	4.779189e+04	6.762480e+03	6.762480e+03
-1.500000e+00	-1.000000e+00	6.037002e+04	7.383825e+03	7.383825e+03
-1.000000e+00	-5.000000e-01	6.644973e+04	8.592485e+03	8.592485e+03
-5.000000e-01	0.000000e+00	6.843045e+04	9.972777e+03	9.972777e+03
0.000000e+00	5.000000e-01	7.130172e+04	9.533006e+03	9.533006e+03
